"REF_DATE","GEO","DGUID","Distribution","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016-01","Ontario","2016A000235","Deliveries to industrial consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028706","5.1.3","237817.2","","","","1"
"2016-01","Ontario","2016A000235","Deliveries to industrial consumers","Customers","Customers","76","units","0","v1062314472","5.1.4","6311","","","","0"
"2016-01","Ontario","2016A000235","Deliveries to commercial and institutional consumers","Cubic metres","Cubic metres","72","thousands","3","v107028707","5.2.1","1052047.0","","","","1"
"2016-01","Ontario","2016A000235","Deliveries to commercial and institutional consumers","Gigajoules","Gigajoules","143","thousands","3","v107028708","5.2.2","40557.9","","","","1"
"2016-01","Ontario","2016A000235","Deliveries to commercial and institutional consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028709","5.2.3","238485.7","","","","1"
"2016-01","Ontario","2016A000235","Deliveries to commercial and institutional consumers","Customers","Customers","76","units","0","v1062314473","5.2.4","154602","","","","0"
"2016-01","Ontario","2016A000235","Deliveries to residential consumers","Cubic metres","Cubic metres","72","thousands","3","v107028710","5.3.1","1262367.0","","","","1"
"2016-01","Ontario","2016A000235","Deliveries to residential consumers","Gigajoules","Gigajoules","143","thousands","3","v107028711","5.3.2","48665.2","","","","1"
"2016-01","Ontario","2016A000235","Deliveries to residential consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028712","5.3.3","362167.7","","","","1"
"2016-01","Ontario","2016A000235","Deliveries to residential consumers","Customers","Customers","76","units","0","v1062314474","5.3.4","1971384","","","","0"
"2016-01","Manitoba","2016A000246","Deliveries to industrial consumers","Cubic metres","Cubic metres","72","thousands","3","v107028713","6.1.1","73755.0","","","","1"
"2016-01","Manitoba","2016A000246","Deliveries to industrial consumers","Gigajoules","Gigajoules","143","thousands","3","v107028714","6.1.2","2821.9","","","","1"
"2016-01","Manitoba","2016A000246","Deliveries to industrial consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028715","6.1.3","18871.7","","","","1"
"2016-01","Manitoba","2016A000246","Deliveries to industrial consumers","Customers","Customers","76","units","0","v1062314475","6.1.4","109","","","","0"
"2016-01","Manitoba","2016A000246","Deliveries to commercial and institutional consumers","Cubic metres","Cubic metres","72","thousands","3","v107028716","6.2.1","112359.0","","","","1"
"2016-01","Manitoba","2016A000246","Deliveries to commercial and institutional consumers","Gigajoules","Gigajoules","143","thousands","3","v107028717","6.2.2","4298.9","","","","1"
"2016-01","Manitoba","2016A000246","Deliveries to commercial and institutional consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028718","6.2.3","25765.7","","","","1"
"2016-01","Manitoba","2016A000246","Deliveries to commercial and institutional consumers","Customers","Customers","76","units","0","v1062314476","6.2.4","24342","","","","0"
"2016-01","Manitoba","2016A000246","Deliveries to residential consumers","Cubic metres","Cubic metres","72","thousands","3","v107028719","6.3.1","93364.0","","","","1"
"2016-01","Manitoba","2016A000246","Deliveries to residential consumers","Gigajoules","Gigajoules","143","thousands","3","v107028720","6.3.2","3572.1","","","","1"
"2016-01","Manitoba","2016A000246","Deliveries to residential consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028721","6.3.3","29697.9","","","","1"
"2016-01","Manitoba","2016A000246","Deliveries to residential consumers","Customers","Customers","76","units","0","v1062314477","6.3.4","244534","","","","0"
"2016-01","Saskatchewan","2016A000247","Deliveries to industrial consumers","Cubic metres","Cubic metres","72","thousands","3","v107028722","7.1.1","3027.0","","","","1"
"2016-01","Saskatchewan","2016A000247","Deliveries to industrial consumers","Gigajoules","Gigajoules","143","thousands","3","v107028723","7.1.2","116.5","","","","1"
"2016-01","Saskatchewan","2016A000247","Deliveries to industrial consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028724","7.1.3","430.0","","","","1"
"2016-01","Saskatchewan","2016A000247","Deliveries to industrial consumers","Customers","Customers","76","units","0","v1062314478","7.1.4","23","","","","0"
"2016-01","Saskatchewan","2016A000247","Deliveries to commercial and institutional consumers","Cubic metres","Cubic metres","72","thousands","3","v107028725","7.2.1","118940.0","","","","1"
"2016-01","Saskatchewan","2016A000247","Deliveries to commercial and institutional consumers","Gigajoules","Gigajoules","143","thousands","3","v107028726","7.2.2","4578.0","","","","1"
"2016-01","Saskatchewan","2016A000247","Deliveries to commercial and institutional consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028727","7.2.3","22400.7","","","","1"
"2016-01","Saskatchewan","2016A000247","Deliveries to commercial and institutional consumers","Customers","Customers","76","units","0","v1062314479","7.2.4","40235","","","","0"
"2016-01","Saskatchewan","2016A000247","Deliveries to residential consumers","Cubic metres","Cubic metres","72","thousands","3","v107028728","7.3.1","147802.0","","","","1"
"2016-01","Saskatchewan","2016A000247","Deliveries to residential consumers","Gigajoules","Gigajoules","143","thousands","3","v107028729","7.3.2","5688.9","","","","1"
"2016-01","Saskatchewan","2016A000247","Deliveries to residential consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028730","7.3.3","35599.8","","","","1"
"2016-01","Saskatchewan","2016A000247","Deliveries to residential consumers","Customers","Customers","76","units","0","v1062314480","7.3.4","346685","","","","0"
"2016-01","Alberta","2016A000248","Deliveries to industrial consumers","Cubic metres","Cubic metres","72","thousands","3","v107028731","8.1.1","65370.0","","","","1"
"2016-01","Alberta","2016A000248","Deliveries to industrial consumers","Gigajoules","Gigajoules","143","thousands","3","v107028732","8.1.2","2518.2","","","","1"
"2016-01","Alberta","2016A000248","Deliveries to industrial consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028733","8.1.3","3549.7","","","","1"
"2016-01","Alberta","2016A000248","Deliveries to industrial consumers","Customers","Customers","76","units","0","v1062314481","8.1.4","574","","","","0"
"2016-01","Alberta","2016A000248","Deliveries to commercial and institutional consumers","Cubic metres","Cubic metres","72","thousands","3","v107028734","8.2.1","440664.0","","","","1"
"2016-01","Alberta","2016A000248","Deliveries to commercial and institutional consumers","Gigajoules","Gigajoules","143","thousands","3","v107028735","8.2.2","17244.3","","","","1"
"2016-01","Alberta","2016A000248","Deliveries to commercial and institutional consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028736","8.2.3","26074.5","","","","1"
"2016-01","Alberta","2016A000248","Deliveries to commercial and institutional consumers","Customers","Customers","76","units","0","v1062314482","8.2.4","112513","","","","0"
"2016-01","Alberta","2016A000248","Deliveries to residential consumers","Cubic metres","Cubic metres","72","thousands","3","v107028737","8.3.1","668773.0","","","","1"
"2016-01","Alberta","2016A000248","Deliveries to residential consumers","Gigajoules","Gigajoules","143","thousands","3","v107028738","8.3.2","26184.8","","","","1"
"2016-01","Alberta","2016A000248","Deliveries to residential consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028739","8.3.3","74141.6","","","","1"
"2016-01","Alberta","2016A000248","Deliveries to residential consumers","Customers","Customers","76","units","0","v1062314483","8.3.4","1281239","","","","0"
"2016-01","British Columbia","2016A000259","Deliveries to industrial consumers","Cubic metres","Cubic metres","72","thousands","3","v107028740","9.1.1","212477.0","","","","1"
"2016-01","British Columbia","2016A000259","Deliveries to industrial consumers","Gigajoules","Gigajoules","143","thousands","3","v107028741","9.1.2","8560.5","","","","1"
"2016-01","British Columbia","2016A000259","Deliveries to industrial consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028742","9.1.3","15192.4","","","","1"
"2016-01","British Columbia","2016A000259","Deliveries to industrial consumers","Customers","Customers","76","units","0","v1062314484","9.1.4","2657","","","","0"
"2016-01","British Columbia","2016A000259","Deliveries to commercial and institutional consumers","Cubic metres","Cubic metres","72","thousands","3","v107028743","9.2.1","171190.0","","","","1"
"2016-01","British Columbia","2016A000259","Deliveries to commercial and institutional consumers","Gigajoules","Gigajoules","143","thousands","3","v107028744","9.2.2","6896.2","","","","1"
"2016-01","British Columbia","2016A000259","Deliveries to commercial and institutional consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028745","9.2.3","45740.5","","","","1"
"2016-01","British Columbia","2016A000259","Deliveries to commercial and institutional consumers","Customers","Customers","76","units","0","v1062314485","9.2.4","96663","","","","0"
"2016-01","British Columbia","2016A000259","Deliveries to residential consumers","Cubic metres","Cubic metres","72","thousands","3","v107028746","9.3.1","300716.0","","","","1"
"2016-01","British Columbia","2016A000259","Deliveries to residential consumers","Gigajoules","Gigajoules","143","thousands","3","v107028747","9.3.2","12114.9","","","","1"
"2016-01","British Columbia","2016A000259","Deliveries to residential consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028748","9.3.3","96298.2","","","","1"
"2016-01","British Columbia","2016A000259","Deliveries to residential consumers","Customers","Customers","76","units","0","v1062314486","9.3.4","939804","","","","0"
"2016-01","Northwest Territories","2016A000261","Deliveries to industrial consumers","Cubic metres","Cubic metres","72","thousands","3","v1427756121","10.1.1","0.0","","","","1"
"2016-01","Northwest Territories","2016A000261","Deliveries to industrial consumers","Gigajoules","Gigajoules","143","thousands","3","v1427756124","10.1.2","0.0","","","","1"
"2016-01","Northwest Territories","2016A000261","Deliveries to industrial consumers","Canadian dollars","Canadian dollars","47","thousands","3","v1427756127","10.1.3","0.0","","","","1"
"2016-01","Northwest Territories","2016A000261","Deliveries to industrial consumers","Customers","Customers","76","units","0","v1427756042","10.1.4","0","","","","0"
"2016-01","Northwest Territories","2016A000261","Deliveries to commercial and institutional consumers","Cubic metres","Cubic metres","72","thousands","3","v1427756122","10.2.1","51.0","","","","1"
"2016-01","Northwest Territories","2016A000261","Deliveries to commercial and institutional consumers","Gigajoules","Gigajoules","143","thousands","3","v1427756125","10.2.2","1.9","","","","1"
"2016-01","Northwest Territories","2016A000261","Deliveries to commercial and institutional consumers","Canadian dollars","Canadian dollars","47","thousands","3","v1427756128","10.2.3","67.4","","","","1"
"2016-01","Northwest Territories","2016A000261","Deliveries to commercial and institutional consumers","Customers","Customers","76","units","0","v1427756043","10.2.4","252","","","","0"
"2016-01","Northwest Territories","2016A000261","Deliveries to residential consumers","Cubic metres","Cubic metres","72","thousands","3","v1427756123","10.3.1","91.0","","","","1"
"2016-01","Northwest Territories","2016A000261","Deliveries to residential consumers","Gigajoules","Gigajoules","143","thousands","3","v1427756126","10.3.2","3.4","","","","1"
"2016-01","Northwest Territories","2016A000261","Deliveries to residential consumers","Canadian dollars","Canadian dollars","47","thousands","3","v1427756129","10.3.3","118.9","","","","1"
"2016-01","Northwest Territories","2016A000261","Deliveries to residential consumers","Customers","Customers","76","units","0","v1427756044","10.3.4","576","","","","0"
"2016-02","Canada","2016A000011124","Deliveries to industrial consumers","Cubic metres","Cubic metres","72","thousands","3","v107028668","1.1.1","1586555.0","","","","1"
"2016-02","Canada","2016A000011124","Deliveries to industrial consumers","Gigajoules","Gigajoules","143","thousands","3","v107028669","1.1.2","61319.6","","","","1"
"2016-02","Canada","2016A000011124","Deliveries to industrial consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028670","1.1.3","271926.8","","","","1"
"2016-02","Canada","2016A000011124","Deliveries to industrial consumers","Customers","Customers","76","units","0","v1062314460","1.1.4","16833","","","","0"
"2016-02","Canada","2016A000011124","Deliveries to commercial and institutional consumers","Cubic metres","Cubic metres","72","thousands","3","v107028671","1.2.1","2114688.0","","","","1"
"2016-02","Canada","2016A000011124","Deliveries to commercial and institutional consumers","Gigajoules","Gigajoules","143","thousands","3","v107028672","1.2.2","81832.8","","","","1"
"2016-02","Canada","2016A000011124","Deliveries to commercial and institutional consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028673","1.2.3","442179.0","","","","1"
"2016-02","Canada","2016A000011124","Deliveries to commercial and institutional consumers","Customers","Customers","76","units","0","v1062314461","1.2.4","485523","","","","0"
"2016-02","Canada","2016A000011124","Deliveries to residential consumers","Cubic metres","Cubic metres","72","thousands","3","v107028674","1.3.1","2312772.0","","","","1"
"2016-02","Canada","2016A000011124","Deliveries to residential consumers","Gigajoules","Gigajoules","143","thousands","3","v107028675","1.3.2","89856.8","","","","1"
"2016-02","Canada","2016A000011124","Deliveries to residential consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028676","1.3.3","605834.2","","","","1"
"2016-02","Canada","2016A000011124","Deliveries to residential consumers","Customers","Customers","76","units","0","v1062314462","1.3.4","4948288","","","","0"
"2016-02","Nova Scotia","2016A000212","Deliveries to industrial consumers","Cubic metres","Cubic metres","72","thousands","3","v107028677","2.1.1","9672.0","","","","1"
"2016-02","Nova Scotia","2016A000212","Deliveries to industrial consumers","Gigajoules","Gigajoules","143","thousands","3","v107028678","2.1.2","389.4","","","","1"
"2016-02","Nova Scotia","2016A000212","Deliveries to industrial consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028679","2.1.3","1319.8","","","","1"
"2016-02","Nova Scotia","2016A000212","Deliveries to industrial consumers","Customers","Customers","76","units","0","v1062314463","2.1.4","6","","","","0"
"2016-02","Nova Scotia","2016A000212","Deliveries to commercial and institutional consumers","Cubic metres","Cubic metres","72","thousands","3","v107028680","2.2.1","15602.0","","","","1"
"2016-02","Nova Scotia","2016A000212","Deliveries to commercial and institutional consumers","Gigajoules","Gigajoules","143","thousands","3","v107028681","2.2.2","628.2","","","","1"
"2016-02","Nova Scotia","2016A000212","Deliveries to commercial and institutional consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028682","2.2.3","7877.0","","","","1"
"2016-02","Nova Scotia","2016A000212","Deliveries to commercial and institutional consumers","Customers","Customers","76","units","0","v1062314464","2.2.4","3113","","","","0"
"2016-02","Nova Scotia","2016A000212","Deliveries to residential consumers","Cubic metres","Cubic metres","72","thousands","3","v107028683","2.3.1","960.0","","","","1"
"2016-02","Nova Scotia","2016A000212","Deliveries to residential consumers","Gigajoules","Gigajoules","143","thousands","3","v107028684","2.3.2","38.6","","","","1"
"2016-02","Nova Scotia","2016A000212","Deliveries to residential consumers","Canadian dollars","Canadian dollars","47","thousands","3","v107028685","2.3.3","770.1","","","","1"
"2016-02","Nova Scotia","2016A000212","Deliveries to residential consumers","Customers","Customers","76","units","0","v1062314465","2.3.4","3894","","","","0"
"2016-02","New Brunswick","2016A000213","Deliveries to industrial consumers","Cubic metres","Cubic metres","72","thousands","3","v107028686","3.1.1","6885.0","","","","1"
"2016-02","New Brunswick","2016A000213","Deliveries to industrial consumers","Gigajoules","Gigajoules","143","thousands","3","v107028687","3.1.2","269.0","","","","1"
